img,folder,ratio,h,w,area,est_h_cm,est_w_cm,mode,gmean,kurtosis,var,std
../images/mask_set/2high_exsertion_low_seed_set/10.tif,2high_exsertion_low_seed_set,0.164556962,79,13,2283,0.8315789474,0.1368421053,33,35.3,4.6704013499,-8136.5504362398,17.6521606029
../images/mask_set/2high_exsertion_low_seed_set/64.tif,2high_exsertion_low_seed_set,0.2875,80,23,4121,0.8421052632,0.2421052632,28,40.72,-0.7627894113,-7373.6677185973,24.380219081
../images/mask_set/2high_exsertion_low_seed_set/39.tif,2high_exsertion_low_seed_set,0.4418604651,86,38,6202,0.9052631579,0.4,28,32.6,2.0713875239,-2346.0339749442,21.5156201242
../images/mask_set/2high_exsertion_low_seed_set/17.tif,2high_exsertion_low_seed_set,0.3411764706,85,29,5472,0.8947368421,0.3052631579,28,41.53,-0.8084822608,-5844.3286340166,23.4897386229
../images/mask_set/2high_exsertion_low_seed_set/4.tif,2high_exsertion_low_seed_set,0.3636363636,99,36,7308,1.0421052632,0.3789473684,31,37.1,3.3984318018,-2986.172003785,18.0161905368
../images/mask_set/2high_exsertion_low_seed_set/86.tif,2high_exsertion_low_seed_set,0.2882882883,111,32,7998,1.1684210526,0.3368421053,32,39.62,1.2513356709,-3573.1083571804,20.1287273657
../images/mask_set/2high_exsertion_low_seed_set/28.tif,2high_exsertion_low_seed_set,0.2352941176,102,24,5358,1.0736842105,0.2526315789,31,32.72,1.8812712971,-2967.5490964188,20.7905826123
../images/mask_set/2high_exsertion_low_seed_set/125.tif,2high_exsertion_low_seed_set,0.3469387755,98,34,6734,1.0315789474,0.3578947368,25,28.48,3.7853655184,-1277.6662006987,20.6186200163
../images/mask_set/2high_exsertion_low_seed_set/138.tif,2high_exsertion_low_seed_set,0.2153846154,65,14,2082,0.6842105263,0.1473684211,27,32.22,3.1940926444,-6595.0512893135,20.1966526884
../images/mask_set/2high_exsertion_low_seed_set/123.tif,2high_exsertion_low_seed_set,0.3085106383,94,29,5820,0.9894736842,0.3052631579,25,27.03,13.528140053,-969.9348920092,14.8047423576
../images/mask_set/2high_exsertion_low_seed_set/23.tif,2high_exsertion_low_seed_set,0.3977272727,88,35,5784,0.9263157895,0.3684210526,25,30.81,1.7806406323,-2076.9531101211,22.4380059981
../images/mask_set/2high_exsertion_low_seed_set/91.tif,2high_exsertion_low_seed_set,0.2023809524,84,17,3245,0.8842105263,0.1789473684,21,37.66,-1.4192481016,-9443.9352995247,30.691167631
../images/mask_set/2high_exsertion_low_seed_set/72.tif,2high_exsertion_low_seed_set,0.198019802,101,20,4080,1.0631578947,0.2105263158,28,37.66,0.5830155996,-6316.5645942879,22.9622350883
../images/mask_set/2high_exsertion_low_seed_set/8.tif,2high_exsertion_low_seed_set,0.1941747573,103,20,4365,1.0842105263,0.2105263158,33,40.4,-0.0820733383,-7652.04100704,24.017782063
